problema,modelo,y_true,y_proba
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,1,1.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
sequía,AutoML,0,0.0
