problema,modelo,y_true,y_proba
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,1.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,1.0
anegamiento,AutoML,1,0.0
anegamiento,AutoML,1,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,1,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,1,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,1,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,1,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,1,1.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,1,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,0.0
anegamiento,AutoML,0,1.0
