Variable_1,Variable_2,Correlacion
vapr_1,vapr_2,0.998875949593809
PHIHOX_M_sl3,PHIHOX_M_sl4,0.9975369899629897
PHIHOX_M_sl6,PHIHOX_M_sl7,0.997530226528973
tavg_1,tavg_12,0.997449067040075
PHIHOX_M_sl2,PHIHOX_M_sl3,0.9974088646049011
vapr_7,vapr_8,0.9972183178947506
PHIKCL_M_sl6,PHIKCL_M_sl7,0.9971936903022945
PHIHOX_M_sl5,PHIHOX_M_sl6,0.9970524001257117
SLTPPT_M_sl1,SLTPPT_M_sl2,0.9968394589626292
CRFVOL_M_sl1,CRFVOL_M_sl2,0.9966183062633115
tmin_1,tmin_2,0.9964986228735058
PHIKCL_M_sl5,PHIKCL_M_sl6,0.9963419802977033
PHIKCL_M_sl4,PHIKCL_M_sl5,0.9961834995712328
SLTPPT_M_sl2,SLTPPT_M_sl3,0.9960696318429727
tavg_1,tavg_2,0.9960039662480814
tmax_1,tmax_2,0.9955626762938553
CLYPPT_M_sl1,CLYPPT_M_sl2,0.9955506750881091
PHIHOX_M_sl4,PHIHOX_M_sl5,0.9955123461683506
PHIHOX_M_sl5,PHIHOX_M_sl7,0.9955069152422362
CLYPPT_M_sl5,CLYPPT_M_sl6,0.9954721320379178
PHIHOX_M_sl2,PHIHOX_M_sl4,0.9954572157703498
tavg_12,tavg_2,0.995198765681647
vapr_1,vapr_12,0.995113390849784
PHIKCL_M_sl3,PHIKCL_M_sl4,0.9948790575507119
PHIKCL_M_sl5,PHIKCL_M_sl7,0.9948031731060772
BLDFIE_M_sl6,BLDFIE_M_sl7,0.9947386636874488
PHIHOX_M_sl1,PHIHOX_M_sl2,0.9947381260607082
SLTPPT_M_sl1,SLTPPT_M_sl3,0.9946522014697584
CECSOL_M_sl6,CECSOL_M_sl7,0.9944445558355638
SLTPPT_M_sl5,SLTPPT_M_sl6,0.9943075037052282
vapr_2,vapr_3,0.994260056716661
PHIKCL_M_sl2,PHIKCL_M_sl3,0.9942513700536835
CRFVOL_M_sl5,CRFVOL_M_sl6,0.9942289674277176
ORCDRC_M_sl6,ORCDRC_M_sl7,0.9942175679267873
CECSOL_M_sl5,CECSOL_M_sl6,0.9941617508555673
OCSTHA_M_100cm,OCSTHA_M_sd4,0.9939098075170055
OCSTHA_M_200cm,OCSTHA_M_sd5,0.9938363900036986
SNDPPT_M_sl2,SNDPPT_M_sl3,0.9937058645390506
vapr_12,vapr_2,0.9936278215978714
SNDPPT_M_sl1,SNDPPT_M_sl2,0.9933348896046221
PHIHOX_M_sl3,PHIHOX_M_sl5,0.993292399587764
CLYPPT_M_sl2,CLYPPT_M_sl3,0.9932911967719321
SLTPPT_M_sl4,SLTPPT_M_sl5,0.9931162176529048
PHIHOX_M_sl1,PHIHOX_M_sl3,0.9929395985245122
ORCDRC_M_sl5,ORCDRC_M_sl6,0.9927868562232349
CLYPPT_M_sl6,CLYPPT_M_sl7,0.9927607510318511
PHIKCL_M_sl4,PHIKCL_M_sl6,0.9927482861259659
SLTPPT_M_sl3,SLTPPT_M_sl4,0.9924842492325184
PHIHOX_M_sl4,PHIHOX_M_sl6,0.992441364174006
CRFVOL_M_sl2,CRFVOL_M_sl3,0.9920087295335788
BLDFIE_M_sl5,BLDFIE_M_sl6,0.991878495883272
PHIKCL_M_sl3,PHIKCL_M_sl5,0.991760913923482
SLTPPT_M_sl6,SLTPPT_M_sl7,0.9916948965632293
vapr_12,vapr_3,0.9916300998562679
CLYPPT_M_sl1,CLYPPT_M_sl3,0.9916213811844198
SNDPPT_M_sl5,SNDPPT_M_sl6,0.9912581570831396
SNDPPT_M_sl1,SNDPPT_M_sl3,0.9911532709665235
PHIKCL_M_sl4,PHIKCL_M_sl7,0.9910269522334658
PHIHOX_M_sl1,PHIHOX_M_sl4,0.9909393572226941
vapr_1,vapr_3,0.9909227375539128
tmax_7,tmax_8,0.9908532191559845
tmin_7,tmin_8,0.9908524713245056
PHIHOX_M_sl4,PHIHOX_M_sl7,0.9906338072666072
PHIHOX_M_sl2,PHIHOX_M_sl5,0.9903699472965952
CRFVOL_M_sl1,CRFVOL_M_sl3,0.9903254312001558
CECSOL_M_sl4,CECSOL_M_sl5,0.9902040049796754
OCSTHA_M_100cm,OCSTHA_M_200cm,0.9902031553519012
OCSTHA_M_200cm,OCSTHA_M_sd4,0.9901983629600584
SLTPPT_M_sl2,SLTPPT_M_sl4,0.9899834005174997
PHIHOX_M_sl3,PHIHOX_M_sl6,0.9899200513491173
PHIKCL_M_sl2,PHIKCL_M_sl4,0.9895938848152095
tavg_7,tavg_8,0.989512684321694
SNDPPT_M_sl6,SNDPPT_M_sl7,0.9892528551389506
CECSOL_M_sl5,CECSOL_M_sl7,0.9889807438009727
tavg_1,tmin_1,0.9888172099409761
OCSTHA_M_30cm,OCSTHA_M_sd2,0.9886678310233803
SLTPPT_M_sl4,SLTPPT_M_sl6,0.9885193554206478
OCSTHA_M_200cm,OCSTHA_M_sd6,0.9882939328405936
tmax_12,tmax_2,0.9882036924491927
OCSTHA_M_sd5,OCSTHA_M_sd6,0.9880853075058438
SLTPPT_M_sl1,SLTPPT_M_sl4,0.9880773806873288
srad_1,srad_12,0.9879861750216772
PHIHOX_M_sl3,PHIHOX_M_sl7,0.9878439317252661
PHIKCL_M_sl3,PHIKCL_M_sl6,0.9877925436010734
CLYPPT_M_sl5,CLYPPT_M_sl7,0.9876851100062713
SLTPPT_M_sl5,SLTPPT_M_sl7,0.9875001486131466
tmax_1,tmax_12,0.9874429324136772
bio1,tavg_10,0.9874129685117018
SNDPPT_M_sl4,SNDPPT_M_sl5,0.9872675744909742
bio13,bio16,0.9871456228593122
tavg_2,tmin_2,0.9871418628303202
tavg_1,tmax_1,0.9870271677067123
OCSTHA_M_100cm,OCSTHA_M_sd3,0.9868717037492757
WWP_M_sl6,WWP_M_sl7,0.9868482045359052
PHIHOX_M_sl2,PHIHOX_M_sl6,0.9868298913003956
WWP_M_sl5,WWP_M_sl6,0.986448759045661
PHIKCL_M_sl2,PHIKCL_M_sl5,0.9864460910700179
CLYPPT_M_sl4,CLYPPT_M_sl5,0.9864278459764437
PHIKCL_M_sl3,PHIKCL_M_sl7,0.9864166709224108
SLTPPT_M_sl3,SLTPPT_M_sl5,0.9863873519874453
tavg_1,tmin_2,0.9862923443603249
tmin_2,tmin_3,0.9860359471365602
tavg_2,tmax_1,0.9859084059963973
tavg_12,tmin_1,0.9857595481068914
OCSTHA_M_sd4,OCSTHA_M_sd5,0.9857073377927952
BLDFIE_M_sl5,BLDFIE_M_sl7,0.9856041202597974
AWCtS_M_sl6,AWCtS_M_sl7,0.9854094369608153
ORCDRC_M_sl5,ORCDRC_M_sl7,0.9852612429174021
PHIHOX_M_sl1,PHIHOX_M_sl5,0.9852555084205805
tavg_2,tmax_2,0.9852061935846427
tavg_12,tmax_1,0.9851179454428487
tmin_1,tmin_12,0.9850272014480379
tavg_12,tmin_2,0.9848471027658704
tmax_11,tmax_12,0.9845926676253266
tavg_11,tavg_12,0.9845408208762865
PHIHOX_M_sl2,PHIHOX_M_sl7,0.9844454595062133
tavg_2,tavg_3,0.9843777243886076
SLTPPT_M_sl2,SLTPPT_M_sl5,0.9838770897445241
tmin_11,tmin_12,0.9837952033483678
bio11,bio6,0.9835515257061759
BLDFIE_M_sl4,BLDFIE_M_sl5,0.983525208837001
AWCtS_M_sl5,AWCtS_M_sl6,0.9835228820834486
