DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ORIGCTY,COLLSITE,ELEVATION,COLLSRC,MODCF_CloudForestPrediction,MODCF_seasonality_concentration,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,BDRICM_M,SLGWRB,ACDWRB_M_ss,bio18,bio19
10.18730/JKECH,G16570,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,KARAJ - MARKAZI,-0.6807404841145365,0.3859604233784113,-0.5998671786009866,2.084951798306508,0.3535509604922917,-0.4576825708896179,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-1.5483929463757982,-0.2988353302875551
10.18730/JKEKR,G16576,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,KERMANSHAH CHAMCHAL - KERMANSHAH - KERMANSHAHAN,-0.5007723426914878,0.3859604233784113,-0.5996553967638893,1.9302141135757205,0.2849157577758145,-0.4475364481659569,0.6071251130757639,8.092419446937457,-1.1698836982734446,-1.6032053383272806,0.207576942423698
10.18730/JZXX0,G990,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,AHWAZ - KHUZESTAN,-1.271689711162762,0.3859604233784113,-0.5403822342927147,2.285200566781644,1.195441212756153,-1.7391569851617408,0.6071251130757639,3.991234047878121,-1.1698836982734446,-1.6251302951078737,-0.0481361853809941
10.18730/JZXWU,G989,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,KAZERUN - FARS,-1.291793093264302,0.3859604233784113,-0.5533909408523916,2.4672449017590403,1.3669170273942326,-1.834246556171241,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-1.6196490559127252,-0.1233459288529624
10.18730/JZXT$,G987,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,SHIRAZ - FARS,-1.3556055086036252,0.3859604233784113,-0.5534101176991427,1.8118852958404124,1.1651830814780952,-1.7220195511575067,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-1.614167816717577,-0.273765415796899
10.18730/JZXNX,G980,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,TABRIZ - AZERBAIJAN,-0.7570373246143549,0.3859604233784113,-0.6000271444514969,1.7663742120960633,0.0322525987312499,-0.0047740718379529,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-1.4661743584485742,-0.5395065093978536
10.18730/JZXKV,G978,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,REZAIYEH - AZERBAIJAN,-0.7738183437099347,0.3859604233784113,-0.5999055554624867,1.8847030298313712,0.2429268687800248,-0.1993100235312118,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-1.4771368368388709,-0.3439611763707361
10.18730/JZXJT,G977,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,HAMADAN - HAMADAN,-0.3931811762306778,0.3859604233784113,-0.5997228114873161,1.0199924386887365,0.2654250057728514,-0.3727295588706237,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-1.5648366639612428,-0.1985556723249307
10.18730/JZWY6,G965,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,TEHRAN - MARKAZI,-0.6906029415863211,0.3859604233784113,-0.5998537387132338,2.112258448553117,0.3892716161509028,-0.4813719575154977,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-1.5648366639612428,-0.3138772789819488
10.18730/JNE6R,G9506,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,IRN,MESHED - KHORASAN,-0.114715589107779,0.3859604233784113,-0.5475879156785625,2.103156231804247,0.323509202873294,-0.4817544517693277,0.6071251130757639,-0.1099513511812154,-1.1698836982734446,-1.5757991423515394,-0.3489751592688673
