ACCENUMB,y_true,y_pred,y_proba
G21191,0,0,0.000895356324693632
G727,1,1,0.9879135759876132
G22451,0,0,0.0584425339533874
G2993,0,0,0.00032664267207659255
G20962,1,1,0.9987088934181004
G51885,0,0,0.1620769393172153
G884,1,1,0.9843428936146136
G20179,1,1,0.9993745796958832
G7958,1,1,0.9976252055837772
G18188,0,0,0.0230658705768474
G12440,0,0,0.0202939596572543
G18561,0,0,0.0005883885153622324
G18613,0,0,0.0006544603817054148
G50425,0,0,0.0008915487570620282
G22514,1,1,0.9925675448113508
G22489,0,0,0.0390366919298214
G23607,0,0,0.0003892323865187725
G7056,0,0,0.00037204553854095846
G3397,0,0,0.00025008713546149854
G22815,0,0,0.00024384202468052263
G22630,0,0,0.2087427315983545
G11568,0,0,0.0282148240085905
G15939,1,1,0.9994341191188596
G19897,0,0,0.0019410043423425
G50431A,0,0,0.0226663621688775
G142A,0,0,0.0017695958509624
G1803,0,0,0.0002870614107655894
G5542,0,0,0.0005895356373409207
G8178,1,1,0.9688057452727862
G22146,0,0,0.1206689943382379
G474,0,0,0.0059244333030341
G4134,0,0,0.0225335438287217
G22798,0,0,0.0002769197357473669
G9657,1,1,0.9922510252372412
G20746,1,1,0.9705089195250196
G24353,0,0,0.0002829346343935086
G20155,1,1,0.999306680163354
G51604,0,0,0.0113010201943236
G47,0,0,0.0041755809200916
G18208,1,1,0.9927224919534614
G3377,0,0,0.0004539878445619843
G805,0,0,0.00032041881817679524
G17227A,0,0,0.0034013651385782
G50883,0,0,0.0681192002286752
G22751,1,1,0.9991444273866736
G516,1,1,0.9665304194919084
G3017,0,0,0.00029418783648328087
G50381,0,0,0.0023459712083307
G17197,0,0,0.0031092974551348
G16801,0,0,0.0041173515550211
G3529,0,0,0.0437145610629857
G13613,0,0,0.00023684927533564463
G23727,0,0,0.0457537901474501
G521,1,1,0.9975500150442572
G50341,1,1,0.9947142389394772
G10140,1,1,0.9994504059112038
G16795,0,0,0.0141913264747956
G22828,0,0,0.00030004686356845627
G50015F,0,0,0.00030869795978281727
G282,0,0,0.00026295565753260035
G51193,0,0,0.0006940857296919217
G239A,0,0,0.0215102526150976
G50061,0,0,0.0038010958716957
G15941,1,1,0.9995290123510092
G13746,0,0,0.0003031983558006074
G7253C,0,0,0.2940721815645421
G50020,0,0,0.0006609080497140011
G846,1,1,0.9518580160103304
G20837,1,1,0.9532457607700228
G23610,0,0,0.00030779722402612383
G20904,1,1,0.999014904588412
G22486,1,1,0.998624700618238
G11866,1,1,0.9994816453093436
G5711,0,0,0.0045431652815419
G24067,1,1,0.9593437382706672
G9900,0,0,0.056831762430949
G23764A,0,0,0.0615027534824747
G19892,0,0,0.0003014911453883216
G11885,1,1,0.9982956842146936
G10131,1,1,0.9994269635063084
G2415,0,0,0.0008060346622030282
G6757,0,0,0.0005824374854371624
G22865,1,1,0.9654317320963912
G23531,0,0,0.00028496174565851803
G12913,0,0,0.00020132792069703595
G19968A,0,0,0.0006616396386443785
G576,1,1,0.9995968083288304
G4321,0,0,0.00018539436164031749
G13666,0,0,0.0002823678637293982
G22839,0,0,0.0046426264744338
G649,0,0,0.0023048030026055
G10072,1,1,0.999524934509378
G15288,1,1,0.9991034198468656
G23853,0,0,0.00038587005320634126
G18586,0,0,0.0007434690284547447
G20975,1,1,0.9992481330041906
G11295,0,0,0.0003447205108624331
G611,0,0,0.2035895427753946
G52362,0,0,0.0080145785511819
G18204,1,1,0.928078433815285
G345,1,1,0.998441285748326
G20971,1,1,0.998512999887393
G11030A,0,0,0.0002691838475537769
G12878,0,0,0.00037690588883083177
G50971,0,0,0.0033505103550271
G23883,0,0,0.0009637803213269356
G16455,0,0,0.0006864254541630732
G18565,0,0,0.0006153971642486941
G20909,1,1,0.9955724923888593
G22373,1,1,0.9974061456732716
G591,1,1,0.9993476978376764
G8184,0,0,0.1294180118678127
G9518,1,1,0.8680554972450291
G24307,0,0,0.0008377414726715557
G50107,0,0,0.002152898685775
G12869,0,0,0.00039059243350549847
G24354,0,0,0.0005689949084319929
G297,1,1,0.9973932098331304
G20482,0,0,0.0014349536730789
G18249,0,0,0.0056035991952618
G15273,1,1,0.99528119119025
G3565,0,0,0.0004647418924738068
G20803,1,1,0.9962203770450704
G18573,0,0,0.0023662361961814
G2412,0,0,0.0006190966281204393
G7386,0,0,0.0270709032189604
G5190,0,0,0.0028137361530242
G13051,1,1,0.9955262445309436
G23731,0,0,0.00028043389654904514
G13660,0,0,0.0004293060580457901
G826,0,0,0.000400237486480231
G18571,0,0,0.0005257934871496611
G18043,1,1,0.9996222228840068
G695,0,0,0.0012528198862131
G4759,0,0,0.00272095632127
G987,0,0,0.0003844608519925392
G12868,0,0,0.0009015449623943438
G8912,0,0,0.0002732808146691967
G1475,1,1,0.8881901189030286
G13642,0,0,0.0004907867917814667
G5045,1,1,0.9818823383027208
G18628,0,0,0.0011018426014341
G20372,1,1,0.9679209029531798
G52,0,0,0.0008760059997294912
G23869I,0,0,0.000494608529316655
G50723B,0,0,0.0773434425467784
G19889,0,0,0.0038542793199832
G19895,0,0,0.0018275191517279
G19122,0,0,0.00023704599017038795
G20787,1,1,0.9894266941162608
G1856,0,0,0.0009214068851444412
G24573,0,0,0.0081836324796378
G23703,0,0,0.0019907792570627
G24927,0,0,0.3071142116275551
G50775,0,0,0.0032682190162247
G20817,1,1,0.9986523601518874
G23447C,0,0,0.0006456847674530215
G50038,0,0,0.0008606773447274923
G10961,0,0,0.0003731314728129335
G2907,0,0,0.00019865960987626923
G18575,0,0,0.0008350036279695329
G23458,0,0,0.00024984043338671674
G20725,1,1,0.998725642402768
G2927,0,0,0.0002631665369764265
G22047,0,0,0.00032158375515659255
G419,1,1,0.9975791733039518
G51435,1,1,0.9951552543635516
G1440,0,0,0.0009981369315730248
G52349,0,0,0.0019586131812865
G20418,0,0,0.015179060111905
G22497,1,1,0.9890654786897032
G7312,1,1,0.9924927599143064
G4754,0,0,0.0029260754490321
G52100,0,0,0.0023787359061057
G1695,0,0,0.000436831744553558
G23968,0,0,0.1715991985283629
G2995,0,0,0.00034209222501446025
G7006,0,0,0.0004208576857827571
G1716,0,0,0.0004488289356841472
G14232,1,1,0.99423749045456
G4718,0,0,0.003880510966004
G830,0,0,0.0003719255551371307
G10177,0,0,0.0480632772553131
G10133,1,1,0.9995449545974812
G1971,0,0,0.00024770222870730183
G1735,0,0,0.0003069426368772131
G3384,0,0,0.00022261580693246535
G21198,0,0,0.0018193418876802
G19153,0,0,0.0003250582050410282
G231,0,0,0.00044763797439571664
G22741A,1,1,0.995932161668616
G14185,0,0,0.00020761599657736135
G21193,0,0,0.0012812895028397
G18448,0,0,0.0012763651173686
G24498B,0,0,0.0007071692920835833
G24463,0,0,0.0111320369929093
G15987,0,0,0.0002462994115822962
G413,1,1,0.9660114220812496
G50984,0,0,0.0152866788843936
G24604,0,0,0.00015107439646053824
G13891,1,1,0.9927210832955434
G146,0,0,0.0365225730490599
G2010,0,0,0.005454052611367
G24277,0,0,0.0090686078043033
G20104,0,0,0.005538842453482
G11125,0,0,0.000266544329164984
G14161,1,1,0.9609795686735062
G21126,0,0,0.003404049806417
G20292,0,0,0.0024286944445244
G20766,0,0,0.1963996069191154
G50795,0,0,0.0047026173765133
G18651,0,0,0.0005432770463094011
G2914,0,0,0.00024348696701991123
G14962,0,0,0.00033455836761589545
G13928,1,1,0.9968284820307974
G8908,0,0,0.00027243169004735054
G50501B,1,1,0.9685933856831151
G1939,0,0,0.0020899817830635
G17217,0,0,0.0123491935619732
G51645C,1,1,0.9949551322470852
G51262D,0,0,0.1206103026639778
