DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE
10.18730/JKECH,G16570,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEDJ,G16571,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEEK,G16572,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEFM,G16573,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEHP,G16574,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEJQ,G16575,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0
10.18730/JKEKR,G16576,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KERMANSHAH CHAMCHAL - KERMANSHAH - KERMANSHAHAN,34.32,47.07,,19780101.0
10.18730/JKEMS,G16577,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KERMANSHAH CHAMCHAL - KERMANSHAH - KERMANSHAHAN,34.32,47.07,,19780101.0
10.18730/JRGZ3,G9996,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,20.43,-104.7,,19770601.0
10.18730/PGDH7,G9997,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,20.43,-104.7,,19770601.0
10.18730/S4243,G9997A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,20.43,-104.7,,19770601.0
10.18730/PGDJ8,G9998,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,LAGO CHAPALA - CHAPALA - JALISCO,20.3,-103.2,,19770601.0
10.18730/S6AKW,G9998A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,LAGO CHAPALA - CHAPALA - JALISCO,20.3,-103.2,,19770601.0
10.18730/JRGW0,G9991,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"ABOVE AYUTLA, ALONG RIVER BARRANCA, 8 KM AWAY - AYUTLA - JALISCO",20.12,-104.37,,19770601.0
10.18730/JRGX1,G9992,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,"ABOVE AYUTLA, ALONG RIVER BARRANCA, 8 KM AWAY - AYUTLA - JALISCO",20.12,-104.37,,19770601.0
10.18730/JRH37,G9993,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,CERRO DE LAS GALLINAS - CHURINTZIO - MICHOACAN,20.13,-102.08,,19770601.0
10.18730/JRGY2,G9995,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,100,19770601,MEX,ARROYO DE MIRANDILLA - TALPA DE ALLENDE - JALISCO,20.43,-104.7,,19770601.0
