DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,COLLSRC
10.18730/JKECH,G16570,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KARAJ - MARKAZI,35.81,50.93,,19780101.0,40.0
10.18730/JKEKR,G16576,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19780101,IRN,KERMANSHAH CHAMCHAL - KERMANSHAH - KERMANSHAHAN,34.32,47.07,,19780101.0,40.0
10.18730/JZXX0,G990,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,AHWAZ - KHUZESTAN,31.32,48.7,,19700901.0,40.0
10.18730/JZXWU,G989,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,KAZERUN - FARS,29.62,51.63,,19700901.0,40.0
10.18730/JZXT$,G987,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,SHIRAZ - FARS,29.6,52.53,,19700901.0,40.0
10.18730/JZXNX,G980,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,TABRIZ - AZERBAIJAN,38.08,46.3,,19700901.0,40.0
10.18730/JZXKV,G978,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,REZAIYEH - AZERBAIJAN,37.55,45.07,,19700901.0,40.0
10.18730/JZXJT,G977,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,HAMADAN - HAMADAN,34.8,48.5,,19700901.0,40.0
10.18730/JZWY6,G965,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,TEHRAN - MARKAZI,35.67,51.43,,19700901.0,40.0
10.18730/JNE6R,G9506,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,MESHED - KHORASAN,36.35,59.61,,19700901.0,40.0
10.18730/K33Q2,G9494,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770101,IRN,GOCHAN - KHORASAN,37.14,58.5,,19770101.0,40.0
10.18730/K32P6,G9458,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770101,IRN,ISFAHAN - ISFAHAN,32.68,51.64,,19770101.0,40.0
10.18730/JZ39U,G67,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,IRN,AHWAZ - KHUZESTAN,31.32,48.77,,19700901.0,40.0
10.18730/JG93*,G6029,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19730301,IRN,TORBAT-E HEYDARIYEH - KHORASAN,35.27,59.2,,19730301.0,40.0
