ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G18651,0,0,0.0,RandomForest,Anegamiento
G20008,0,0,0.0,RandomForest,Anegamiento
G2209,1,1,1.0,RandomForest,Anegamiento
G18192,0,0,0.01,RandomForest,Anegamiento
G12184,0,0,0.0,RandomForest,Anegamiento
G51465,1,1,0.994,RandomForest,Anegamiento
G4713,1,1,0.986,RandomForest,Anegamiento
G802,1,1,0.62,RandomForest,Anegamiento
G8932,0,0,0.0,RandomForest,Anegamiento
G17070,0,0,0.054,RandomForest,Anegamiento
G52580,0,0,0.016,RandomForest,Anegamiento
G9783,0,0,0.002,RandomForest,Anegamiento
G23733,0,0,0.0,RandomForest,Anegamiento
G52488,1,1,0.512,RandomForest,Anegamiento
G2359,0,0,0.02,RandomForest,Anegamiento
G6775,0,0,0.002,RandomForest,Anegamiento
G50914,0,0,0.002,RandomForest,Anegamiento
G23547A,0,0,0.0,RandomForest,Anegamiento
G24339,0,0,0.0,RandomForest,Anegamiento
G50979,0,0,0.356,RandomForest,Anegamiento
G15841,1,1,0.992,RandomForest,Anegamiento
G24371,0,0,0.002,RandomForest,Anegamiento
G20884,0,0,0.002,RandomForest,Anegamiento
G571,0,0,0.0,RandomForest,Anegamiento
G23160,0,0,0.002,RandomForest,Anegamiento
G10121,0,0,0.014,RandomForest,Anegamiento
G8914,0,0,0.0,RandomForest,Anegamiento
G2830,0,0,0.0,RandomForest,Anegamiento
G7820,0,0,0.05,RandomForest,Anegamiento
G50885,1,1,0.998,RandomForest,Anegamiento
G3344,0,0,0.0,RandomForest,Anegamiento
G18550,0,0,0.0,RandomForest,Anegamiento
G51626,0,0,0.202,RandomForest,Anegamiento
G23651,0,0,0.0,RandomForest,Anegamiento
G50646T,1,1,0.98,RandomForest,Anegamiento
G18308,0,0,0.004,RandomForest,Anegamiento
G24591,0,0,0.006,RandomForest,Anegamiento
G52603,1,1,0.98,RandomForest,Anegamiento
G623,0,0,0.0,RandomForest,Anegamiento
G7128,0,0,0.11,RandomForest,Anegamiento
G311,0,0,0.002,RandomForest,Anegamiento
G7229,1,1,1.0,RandomForest,Anegamiento
G2167,0,0,0.008,RandomForest,Anegamiento
G51842,0,0,0.0,RandomForest,Anegamiento
G5548,0,0,0.088,RandomForest,Anegamiento
G932,0,0,0.0,RandomForest,Anegamiento
G10991,0,0,0.0,RandomForest,Anegamiento
G950,0,0,0.004,RandomForest,Anegamiento
G14248,0,0,0.0,RandomForest,Anegamiento
G4679,0,0,0.274,RandomForest,Anegamiento
G23419A,0,0,0.02,RandomForest,Anegamiento
G50952,0,0,0.0,RandomForest,Anegamiento
G6901,0,0,0.018,RandomForest,Anegamiento
G13016,0,0,0.002,RandomForest,Anegamiento
G19118,0,0,0.0,RandomForest,Anegamiento
G13932,0,0,0.046,RandomForest,Anegamiento
G20917,0,0,0.0,RandomForest,Anegamiento
G22655,0,0,0.002,RandomForest,Anegamiento
G11728,1,1,0.756,RandomForest,Anegamiento
G15292,0,0,0.108,RandomForest,Anegamiento
G14875,0,0,0.0,RandomForest,Anegamiento
G10123,0,0,0.006,RandomForest,Anegamiento
G20772,0,0,0.15,RandomForest,Anegamiento
G18665,0,0,0.002,RandomForest,Anegamiento
G24998,0,0,0.004,RandomForest,Anegamiento
G13125,1,1,0.88,RandomForest,Anegamiento
G16145,0,0,0.0,RandomForest,Anegamiento
G16990,0,0,0.002,RandomForest,Anegamiento
G24645,1,1,0.976,RandomForest,Anegamiento
G52595,0,0,0.442,RandomForest,Anegamiento
G16449,0,0,0.0,RandomForest,Anegamiento
G12064,0,0,0.0,RandomForest,Anegamiento
G20652,0,0,0.004,RandomForest,Anegamiento
G6214,0,0,0.12,RandomForest,Anegamiento
G15291,0,0,0.096,RandomForest,Anegamiento
G219,0,0,0.0,RandomForest,Anegamiento
G12408,0,0,0.01,RandomForest,Anegamiento
G22494,0,0,0.002,RandomForest,Anegamiento
G12876,0,0,0.282,RandomForest,Anegamiento
G1169,0,0,0.062,RandomForest,Anegamiento
G6117,0,0,0.476,RandomForest,Anegamiento
G422,0,0,0.008,RandomForest,Anegamiento
G13671,0,0,0.0,RandomForest,Anegamiento
G52065,1,0,0.334,RandomForest,Anegamiento
G24440,0,0,0.33,RandomForest,Anegamiento
G20827,0,0,0.0,RandomForest,Anegamiento
G50931,0,0,0.012,RandomForest,Anegamiento
G13686,0,0,0.0,RandomForest,Anegamiento
G22373,0,0,0.056,RandomForest,Anegamiento
G733,1,1,0.924,RandomForest,Anegamiento
G20360,0,0,0.0,RandomForest,Anegamiento
G22624,1,1,0.63,RandomForest,Anegamiento
G19936,0,0,0.0,RandomForest,Anegamiento
G51193,0,0,0.004,RandomForest,Anegamiento
G432,0,0,0.002,RandomForest,Anegamiento
G807,0,0,0.006,RandomForest,Anegamiento
G50431A,0,0,0.002,RandomForest,Anegamiento
G1036,0,0,0.01,RandomForest,Anegamiento
G3245,0,0,0.158,RandomForest,Anegamiento
G12202A,0,0,0.014,RandomForest,Anegamiento
G11402,0,0,0.0,RandomForest,Anegamiento
G52005,0,0,0.036,RandomForest,Anegamiento
G12649,1,1,0.996,RandomForest,Anegamiento
G52028,0,0,0.044,RandomForest,Anegamiento
G17229,0,0,0.07,RandomForest,Anegamiento
G5036,0,0,0.006,RandomForest,Anegamiento
G450,0,0,0.0,RandomForest,Anegamiento
G602,0,0,0.0,RandomForest,Anegamiento
G23438,0,0,0.028,RandomForest,Anegamiento
G23420,0,0,0.07,RandomForest,Anegamiento
G52025,0,0,0.004,RandomForest,Anegamiento
G50683,0,0,0.0,RandomForest,Anegamiento
G6772,0,0,0.002,RandomForest,Anegamiento
G19163,0,0,0.0,RandomForest,Anegamiento
G15927,0,0,0.002,RandomForest,Anegamiento
G2980,0,0,0.008,RandomForest,Anegamiento
G19901,0,0,0.002,RandomForest,Anegamiento
G18630,0,0,0.0,RandomForest,Anegamiento
G52202,1,1,0.912,RandomForest,Anegamiento
G19889,0,0,0.002,RandomForest,Anegamiento
G51244,0,0,0.024,RandomForest,Anegamiento
G20959,0,0,0.068,RandomForest,Anegamiento
G1031,0,0,0.0,RandomForest,Anegamiento
G51361B,0,0,0.002,RandomForest,Anegamiento
G23916,1,1,0.532,RandomForest,Anegamiento
G18678,0,0,0.0,RandomForest,Anegamiento
G8209,0,0,0.002,RandomForest,Anegamiento
G50775,0,0,0.004,RandomForest,Anegamiento
G20706,0,0,0.038,RandomForest,Anegamiento
G50008,0,0,0.11,RandomForest,Anegamiento
G24399,1,1,0.996,RandomForest,Anegamiento
G156,0,0,0.0,RandomForest,Anegamiento
G23998,1,1,0.996,RandomForest,Anegamiento
G23445C,0,0,0.0,RandomForest,Anegamiento
G22257,1,1,0.554,RandomForest,Anegamiento
G23467,0,0,0.0,RandomForest,Anegamiento
G23969,1,1,0.952,RandomForest,Anegamiento
G13040,0,0,0.0,RandomForest,Anegamiento
G22047,0,0,0.0,RandomForest,Anegamiento
G20146B,0,0,0.0,RandomForest,Anegamiento
G832,0,0,0.048,RandomForest,Anegamiento
G9654,0,0,0.0,RandomForest,Anegamiento
G10201,0,0,0.244,RandomForest,Anegamiento
G18994,0,0,0.004,RandomForest,Anegamiento
G20935,0,0,0.0,RandomForest,Anegamiento
G114,0,0,0.0,RandomForest,Anegamiento
G5190,1,1,0.524,RandomForest,Anegamiento
G22277,1,1,0.95,RandomForest,Anegamiento
G12707,0,0,0.012,RandomForest,Anegamiento
G11445,0,0,0.0,RandomForest,Anegamiento
G4705,1,1,0.994,RandomForest,Anegamiento
G17228,0,0,0.002,RandomForest,Anegamiento
