Variable,Importancia_Permutacion,Desviacion
bio15,0.00870535714285714,0.004396181918667417
srad_10,0.006994047619047611,0.004105093519087431
MODCF_meanannual,0.005580357142857146,0.005837336909645709
bio19,0.005357142857142838,0.0031000992047618427
MODCF_CloudForestPrediction,0.005133928571428553,0.001967158343214619
bio1,0.004836309523809518,0.005109066785744909
prec_4,0.004836309523809507,0.0019895449340953703
srad_1,0.004761904761904745,0.002187044413199258
current_30arcsec_continentality,0.004687499999999983,0.002170528593127198
MODCF_seasonality_concentration,0.004017857142857129,0.0029799083920387967
srad_3,0.003943452380952367,0.0020659885977551743
bio10,0.0038690476190476053,0.002719593286085863
ELEVATION,0.003497023809523797,0.0020659885977551743
bio3,0.0034226190476190355,0.002161583191418735
srad_5,0.0034226190476190355,0.0017032028485505291
prec_11,0.002901785714285704,0.00303056724024051
ORCDRC_M_sl1,0.002678571428571419,0.000595238095238093
srad_4,0.002306547619047611,0.0027226450094541554
bio12,0.0021577380952380876,0.0011974313198981415
prec_7,0.0021577380952380876,0.0008772192055469906
wind_1,0.0020089285714285643,0.0009729685141831826
AWCh1_M_sl1,0.0020089285714285643,0.0008516014242752646
COLLSRC,0.0020089285714285643,0.0007097761915304631
CECSOL_M_sl2,0.0020089285714285643,0.000709776191530463
BDRLOG_M,0.0019345238095238027,0.0020565885358757746
bio8,0.0019345238095238027,0.003363885284362284
bio13,0.0019345238095238027,0.0014955172055239367
OCSTHA_M_sd1,0.0017857142857142794,0.0011135885079684308
ORCDRC_M_sl2,0.0014880952380952328,0.00081506332962078
SAMPSTAT,0.0014880952380952328,0.00047057703276315
SLTPPT_M_sl1,0.0014880952380952328,0.0013309928437498701
bio14,0.0014880952380952328,0.001696689620683235
PHIKCL_M_sl1,0.0014136904761904712,0.0011010899246241585
prec_6,0.0013392857142857095,0.0014806360671229411
srad_9,0.0013392857142857095,0.0019345238095238024
prec_1,0.0012648809523809479,0.0015801161147020258
COLLSITE,0.0012648809523809479,0.0011787931188805658
wind_10,0.0011904761904761862,0.0010092752951079231
SNDPPT_M_sl1,0.0011904761904761862,0.0013800027523059033
CECSOL_M_sl1,0.0011904761904761862,0.0008928571428571396
ORIGCTY,0.0011160714285714246,0.0014787653954130742
prec_10,0.0011160714285714246,0.0018149272198884558
CRFVOL_M_sl1,0.001041666666666663,0.0010627125637712536
WWP_M_sl1,0.0009672619047619013,0.0007097761915304631
bio2,0.0009672619047619013,0.0035613386737423443
ACDWRB_M_ss,0.0008928571428571397,0.0010935222065996293
PHIHOX_M_sl1,0.0008928571428571397,0.002276347997139628
CLYPPT_M_sl1,0.0008928571428571397,0.001093522206599629
AWCh1_M_sl2,0.0008928571428571397,0.001093522206599629
bio18,0.0007440476190476164,0.0012887282794411244
prec_5,0.0007440476190476164,0.0013719560204304843
BDRICM_M,0.0007440476190476164,0.0016637410546873376
bio9,0.0003720238095238082,0.002738863440372901
SPECIES,0.0,0.0
SLGWRB,0.0,0.0
AWCtS_M_sl1,0.0,0.00081506332962078
GENUS,0.0,0.0
OCDENS_M_sl1,-0.0005208333333333315,0.0015084177777316384
