ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G21191,0,0,0.002,RandomForest,Sequia
G727,1,1,0.656,RandomForest,Sequia
G22451,0,0,0.132,RandomForest,Sequia
G2993,0,0,0.0,RandomForest,Sequia
G20962,1,1,0.996,RandomForest,Sequia
G51885,0,0,0.41,RandomForest,Sequia
G884,1,0,0.442,RandomForest,Sequia
G20179,1,1,0.926,RandomForest,Sequia
G7958,1,1,0.91,RandomForest,Sequia
G18188,0,0,0.11,RandomForest,Sequia
G12440,0,0,0.21,RandomForest,Sequia
G18561,0,0,0.002,RandomForest,Sequia
G18613,0,0,0.0,RandomForest,Sequia
G50425,0,0,0.066,RandomForest,Sequia
G22514,1,1,0.84,RandomForest,Sequia
G22489,0,0,0.198,RandomForest,Sequia
G23607,0,0,0.0,RandomForest,Sequia
G7056,0,0,0.004,RandomForest,Sequia
G3397,0,0,0.014,RandomForest,Sequia
G22815,0,0,0.002,RandomForest,Sequia
G22630,0,1,0.652,RandomForest,Sequia
G11568,0,0,0.142,RandomForest,Sequia
G15939,1,1,0.998,RandomForest,Sequia
G19897,0,0,0.034,RandomForest,Sequia
G50431A,0,0,0.086,RandomForest,Sequia
G142A,0,0,0.044,RandomForest,Sequia
G1803,0,0,0.0,RandomForest,Sequia
G5542,0,0,0.008,RandomForest,Sequia
G8178,1,1,0.782,RandomForest,Sequia
G22146,0,1,0.838,RandomForest,Sequia
G474,0,0,0.106,RandomForest,Sequia
G4134,0,0,0.058,RandomForest,Sequia
G22798,0,0,0.002,RandomForest,Sequia
G9657,1,1,0.72,RandomForest,Sequia
G20746,1,1,0.93,RandomForest,Sequia
G24353,0,0,0.0,RandomForest,Sequia
G20155,1,1,0.868,RandomForest,Sequia
G51604,0,0,0.02,RandomForest,Sequia
G47,0,0,0.026,RandomForest,Sequia
G18208,1,1,0.866,RandomForest,Sequia
G3377,0,0,0.004,RandomForest,Sequia
G805,0,0,0.002,RandomForest,Sequia
G17227A,0,0,0.028,RandomForest,Sequia
G50883,0,0,0.324,RandomForest,Sequia
G22751,1,1,0.958,RandomForest,Sequia
G516,1,1,0.83,RandomForest,Sequia
G3017,0,0,0.006,RandomForest,Sequia
G50381,0,0,0.056,RandomForest,Sequia
G17197,0,0,0.082,RandomForest,Sequia
G16801,0,0,0.082,RandomForest,Sequia
G3529,0,0,0.246,RandomForest,Sequia
G13613,0,0,0.0,RandomForest,Sequia
G23727,0,0,0.156,RandomForest,Sequia
G521,1,1,0.906,RandomForest,Sequia
G50341,1,1,0.814,RandomForest,Sequia
G10140,1,1,0.996,RandomForest,Sequia
G16795,0,0,0.122,RandomForest,Sequia
G22828,0,0,0.002,RandomForest,Sequia
G50015F,0,0,0.002,RandomForest,Sequia
G282,0,0,0.01,RandomForest,Sequia
G51193,0,0,0.008,RandomForest,Sequia
G239A,0,0,0.108,RandomForest,Sequia
G50061,0,0,0.01,RandomForest,Sequia
G15941,1,1,0.996,RandomForest,Sequia
G13746,0,0,0.0,RandomForest,Sequia
G7253C,0,1,0.94,RandomForest,Sequia
G50020,0,0,0.016,RandomForest,Sequia
G846,1,0,0.47,RandomForest,Sequia
G20837,1,1,0.814,RandomForest,Sequia
G23610,0,0,0.012,RandomForest,Sequia
G20904,1,1,0.996,RandomForest,Sequia
G22486,1,1,0.87,RandomForest,Sequia
G11866,1,1,0.99,RandomForest,Sequia
G5711,0,0,0.014,RandomForest,Sequia
G24067,1,1,0.722,RandomForest,Sequia
G9900,0,0,0.306,RandomForest,Sequia
G23764A,0,0,0.136,RandomForest,Sequia
G19892,0,0,0.004,RandomForest,Sequia
G11885,1,1,0.99,RandomForest,Sequia
G10131,1,1,1.0,RandomForest,Sequia
G2415,0,0,0.032,RandomForest,Sequia
G6757,0,0,0.004,RandomForest,Sequia
G22865,1,0,0.496,RandomForest,Sequia
G23531,0,0,0.0,RandomForest,Sequia
G12913,0,0,0.0,RandomForest,Sequia
G19968A,0,0,0.004,RandomForest,Sequia
G576,1,1,0.94,RandomForest,Sequia
G4321,0,0,0.0,RandomForest,Sequia
G13666,0,0,0.0,RandomForest,Sequia
G22839,0,0,0.108,RandomForest,Sequia
G649,0,0,0.024,RandomForest,Sequia
G10072,1,1,0.98,RandomForest,Sequia
G15288,1,1,0.94,RandomForest,Sequia
G23853,0,0,0.006,RandomForest,Sequia
G18586,0,0,0.0,RandomForest,Sequia
G20975,1,1,0.974,RandomForest,Sequia
G11295,0,0,0.0,RandomForest,Sequia
G611,0,1,0.59,RandomForest,Sequia
G52362,0,0,0.02,RandomForest,Sequia
G18204,1,1,0.528,RandomForest,Sequia
G345,1,1,0.774,RandomForest,Sequia
G20971,1,1,0.982,RandomForest,Sequia
G11030A,0,0,0.0,RandomForest,Sequia
G12878,0,0,0.034,RandomForest,Sequia
G50971,0,0,0.074,RandomForest,Sequia
G23883,0,0,0.006,RandomForest,Sequia
G16455,0,0,0.012,RandomForest,Sequia
G18565,0,0,0.004,RandomForest,Sequia
G20909,1,1,0.99,RandomForest,Sequia
G22373,1,1,0.896,RandomForest,Sequia
G591,1,1,0.898,RandomForest,Sequia
G8184,0,1,0.664,RandomForest,Sequia
G9518,1,0,0.104,RandomForest,Sequia
G24307,0,0,0.02,RandomForest,Sequia
G50107,0,0,0.078,RandomForest,Sequia
G12869,0,0,0.0,RandomForest,Sequia
G24354,0,0,0.004,RandomForest,Sequia
G297,1,1,0.956,RandomForest,Sequia
G20482,0,0,0.02,RandomForest,Sequia
G18249,0,0,0.016,RandomForest,Sequia
G15273,1,1,0.874,RandomForest,Sequia
G3565,0,0,0.008,RandomForest,Sequia
G20803,1,1,0.966,RandomForest,Sequia
G18573,0,0,0.016,RandomForest,Sequia
G2412,0,0,0.028,RandomForest,Sequia
G7386,0,0,0.206,RandomForest,Sequia
G5190,0,0,0.034,RandomForest,Sequia
G13051,1,1,0.616,RandomForest,Sequia
G23731,0,0,0.004,RandomForest,Sequia
G13660,0,0,0.008,RandomForest,Sequia
G826,0,0,0.0,RandomForest,Sequia
G18571,0,0,0.004,RandomForest,Sequia
G18043,1,1,1.0,RandomForest,Sequia
G695,0,0,0.014,RandomForest,Sequia
G4759,0,0,0.034,RandomForest,Sequia
G987,0,0,0.004,RandomForest,Sequia
G12868,0,0,0.02,RandomForest,Sequia
G8912,0,0,0.0,RandomForest,Sequia
