DOI,ACCENUMB,ORIGCTY,DECLATITUDE,DECLONGITUDE,Pred_Resistencia,Probabilidad_Resistencia
10.18730/JKECH,G16570,IRN,35.81,50.93,0,0.0028937592
10.18730/JKEKR,G16576,IRN,34.32,47.07,0,0.0010704834
10.18730/JZXX0,G990,IRN,31.32,48.7,0,0.00048559188
10.18730/JZXWU,G989,IRN,29.62,51.63,0,0.00052145583
10.18730/JZXT$,G987,IRN,29.6,52.53,0,0.00036378927
10.18730/JZXNX,G980,IRN,38.08,46.3,1,0.66287994
10.18730/JZXKV,G978,IRN,37.55,45.07,0,0.013319501
10.18730/JZXJT,G977,IRN,34.8,48.5,0,0.001279168
10.18730/JZWY6,G965,IRN,35.67,51.43,0,0.0073079965
10.18730/JNE6R,G9506,IRN,36.35,59.61,0,0.0006795566
10.18730/K33Q2,G9494,IRN,37.14,58.5,0,0.0017489725
10.18730/K32P6,G9458,IRN,32.68,51.64,0,0.00084990496
10.18730/JZ39U,G67,IRN,31.32,48.77,0,0.0005341399
10.18730/JG93*,G6029,IRN,35.27,59.2,0,0.0007031876
10.18730/JG92Z,G6028,IRN,36.21,58.84,0,0.00089006475
10.18730/JGHPB,G5598,IRN,37.46,59.12,0,0.0021435644
10.18730/JKERX,G5594,IRN,29.65,52.54,0,0.00033101754
10.18730/JK9TK,G5557,IRN,35.8,50.98,0,0.0074096536
10.18730/JK8WT,G5550,IRN,36.64,51.44,1,0.99514896
10.18730/JK94$,G5553,IRN,36.22,57.71,0,0.0009970099
10.18730/JK9B4,G5554,IRN,36.42,55.02,0,0.003212344
10.18730/JGJAZ,G5548,IRN,37.42,49.9,1,0.99679846
10.18730/JK8HF,G5545,IRN,29.14,52.87,0,0.00042684417
10.18730/JK8KH,G5546,IRN,37.27,49.63,1,0.9954098
10.18730/JGJ9Y,G5544,IRN,33.64,50.07,0,0.00064747076
10.18730/JK8FD,G5542,IRN,34.07,49.69,0,0.000625736
10.18730/JK7Y~,G5535,IRN,35.34,51.66,0,0.0018654934
10.18730/JGJQ7,G5505,IRN,37.47,57.27,0,0.0016545674
10.18730/JX2E~,G23227,IRN,37.81,48.9,1,0.9970414
10.18730/JX2AX,G23223,IRN,29.25,55.52,0,0.00053893204
10.18730/JX2BY,G23224,IRN,26.53,57.47,0,0.00082861667
10.18730/JX23P,G23221,IRN,36.02,48.94,0,0.004652972
10.18730/K3N99,G23220,IRN,34.82,49.92,0,0.0009340054
10.18730/JKT8V,G17003,IRN,28.67,57.77,0,0.00052839576
10.18730/JKT4Q,G17000,IRN,33.99,51.49,0,0.00051084167
10.18730/JKT5R,G17001,IRN,37.25,49.94,1,0.995362
10.18730/JKSA$,G16990,IRN,38.92,46.83,1,0.980913
10.18730/JKS5X,G16988,IRN,38.31,46.81,0,0.49637744
10.18730/JKRZQ,G16984,IRN,37.94,47.56,1,0.77713794
10.18730/JKR80,G16974,IRN,38.4,48.86,1,0.99806124
10.18730/JNEM1,G16804,IRN,34.81,48.48,0,0.0021136357
10.18730/JKJQ8,G16704,IRN,36.25,50.01,0,0.007822381
10.18730/JKJK4,G16699,IRN,30.25,51.99,0,0.0003809339
10.18730/JKJG1,G16697,IRN,36.76,57.74,0,0.0008716799
10.18730/JKJ5V,G16686,IRN,35.34,47.0,0,0.001080867
10.18730/JKHE4,G16664,IRN,36.5,52.35,1,0.9877864
10.18730/JK9MD,G16455,IRN,34.37,57.12,0,0.00055347034
10.18730/JKA3W,G16456,IRN,30.05,57.28,0,0.0005477019
10.18730/JK9E7,G16458,IRN,36.49,49.15,0,0.028275594
10.18730/JK9A3,G16454,IRN,36.25,60.12,0,0.00069048913
10.18730/JK9QG,G16449,IRN,34.03,51.02,0,0.00059263536
